label shape (10000, 919)
inputs.shape:  (100, 1000, 4)
loss:  42 :  tf.Tensor(0.11518958956003189, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  43 :  tf.Tensor(0.09913895279169083, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  44 :  tf.Tensor(0.22422340512275696, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  45 :  tf.Tensor(0.15863163769245148, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  46 :  tf.Tensor(0.24501357972621918, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  47 :  tf.Tensor(0.268483966588974, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  48 :  tf.Tensor(0.22653156518936157, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  49 :  tf.Tensor(0.123786062002182, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  50 :  tf.Tensor(0.4459979236125946, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  51 :  tf.Tensor(0.19877924025058746, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  52 :  tf.Tensor(0.20294013619422913, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  53 :  tf.Tensor(0.3035115897655487, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  54 :  tf.Tensor(0.31831279397010803, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  55 :  tf.Tensor(0.44852927327156067, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  56 :  tf.Tensor(0.10508465766906738, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  57 :  tf.Tensor(0.0645216628909111, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  58 :  tf.Tensor(0.06966374069452286, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  59 :  tf.Tensor(0.07601983845233917, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  60 :  tf.Tensor(0.15054680407047272, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  61 :  tf.Tensor(0.08637899160385132, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  62 :  tf.Tensor(0.05088407173752785, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  63 :  tf.Tensor(0.04675919935107231, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  64 :  tf.Tensor(0.11217604577541351, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  65 :  tf.Tensor(0.07610337436199188, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  66 :  tf.Tensor(0.08714138716459274, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  67 :  tf.Tensor(0.07737082242965698, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  68 :  tf.Tensor(0.1400468945503235, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  69 :  tf.Tensor(0.27121445536613464, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  70 :  tf.Tensor(0.1715106964111328, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  71 :  tf.Tensor(0.11267832666635513, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  72 :  tf.Tensor(0.14931082725524902, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  73 :  tf.Tensor(0.3130546510219574, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  74 :  tf.Tensor(0.19056935608386993, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  75 :  tf.Tensor(0.12335777282714844, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  76 :  tf.Tensor(0.21590867638587952, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  77 :  tf.Tensor(0.17338444292545319, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  78 :  tf.Tensor(0.12919342517852783, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  79 :  tf.Tensor(0.1506040394306183, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  80 :  tf.Tensor(0.1307728886604309, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  81 :  tf.Tensor(0.19688093662261963, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  82 :  tf.Tensor(0.1801546812057495, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  83 :  tf.Tensor(0.15259571373462677, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  84 :  tf.Tensor(0.14290910959243774, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  85 :  tf.Tensor(0.07388033717870712, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  86 :  tf.Tensor(0.07326536625623703, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  87 :  tf.Tensor(0.10147077590227127, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  88 :  tf.Tensor(0.0692988783121109, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  89 :  tf.Tensor(0.10813380032777786, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  90 :  tf.Tensor(0.08872229605913162, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  91 :  tf.Tensor(0.08112379163503647, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  92 :  tf.Tensor(0.08259915560483932, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  93 :  tf.Tensor(0.09651847183704376, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  94 :  tf.Tensor(0.08141393959522247, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  95 :  tf.Tensor(0.09623201191425323, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  96 :  tf.Tensor(0.1363310068845749, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  97 :  tf.Tensor(0.0729055106639862, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  98 :  tf.Tensor(0.21528534591197968, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  99 :  tf.Tensor(0.16678829491138458, shape=(), dtype=float64)
-----------epoch 2--------------
inputs.shape:  (100, 1000, 4)
loss:  0 :  tf.Tensor(0.12224359810352325, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  1 :  tf.Tensor(0.10819026082754135, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  2 :  tf.Tensor(0.13186344504356384, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  3 :  tf.Tensor(0.20636504888534546, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  4 :  tf.Tensor(0.14387550950050354, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  5 :  tf.Tensor(0.17132169008255005, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  6 :  tf.Tensor(0.14408740401268005, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  7 :  tf.Tensor(0.12191487103700638, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  8 :  tf.Tensor(0.09444404393434525, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  9 :  tf.Tensor(0.07208428531885147, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  10 :  tf.Tensor(0.15613098442554474, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  11 :  tf.Tensor(0.14523480832576752, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  12 :  tf.Tensor(0.19209317862987518, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  13 :  tf.Tensor(0.17010238766670227, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  14 :  tf.Tensor(0.1691487729549408, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  15 :  tf.Tensor(0.17555683851242065, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  16 :  tf.Tensor(0.15797720849514008, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  17 :  tf.Tensor(0.14282922446727753, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  18 :  tf.Tensor(0.15100257098674774, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  19 :  tf.Tensor(0.1505204439163208, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  20 :  tf.Tensor(0.14417065680027008, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  21 :  tf.Tensor(0.16509190201759338, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  22 :  tf.Tensor(0.1259884387254715, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  23 :  tf.Tensor(0.1609855592250824, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  24 :  tf.Tensor(0.10563666373491287, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  25 :  tf.Tensor(0.11879566311836243, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  26 :  tf.Tensor(0.08163029700517654, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  27 :  tf.Tensor(0.10999021679162979, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  28 :  tf.Tensor(0.21361659467220306, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  29 :  tf.Tensor(0.20510031282901764, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  30 :  tf.Tensor(0.14783982932567596, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  31 :  tf.Tensor(0.10089156031608582, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  32 :  tf.Tensor(0.12130171805620193, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  33 :  tf.Tensor(0.13275207579135895, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  34 :  tf.Tensor(0.0757112205028534, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  35 :  tf.Tensor(0.14250758290290833, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  36 :  tf.Tensor(0.2014196515083313, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  37 :  tf.Tensor(0.12532645463943481, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  38 :  tf.Tensor(0.10067473351955414, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  39 :  tf.Tensor(0.07597116380929947, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  40 :  tf.Tensor(0.06298155337572098, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  41 :  tf.Tensor(0.08352753520011902, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  42 :  tf.Tensor(0.055274028331041336, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  43 :  tf.Tensor(0.050152864307165146, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  44 :  tf.Tensor(0.10041046142578125, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  45 :  tf.Tensor(0.07248666882514954, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  46 :  tf.Tensor(0.10886108130216599, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  47 :  tf.Tensor(0.1182592511177063, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  48 :  tf.Tensor(0.09569200873374939, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  49 :  tf.Tensor(0.056703630834817886, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  50 :  tf.Tensor(0.17178262770175934, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  51 :  tf.Tensor(0.0952381119132042, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  52 :  tf.Tensor(0.09013956040143967, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  53 :  tf.Tensor(0.12148253619670868, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  54 :  tf.Tensor(0.12677685916423798, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  55 :  tf.Tensor(0.17095498740673065, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  56 :  tf.Tensor(0.06058076024055481, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  57 :  tf.Tensor(0.04668760299682617, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  58 :  tf.Tensor(0.04481557011604309, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  59 :  tf.Tensor(0.043401192873716354, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  60 :  tf.Tensor(0.08095326274633408, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  61 :  tf.Tensor(0.048234973102808, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  62 :  tf.Tensor(0.031881485134363174, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  63 :  tf.Tensor(0.02967134304344654, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  64 :  tf.Tensor(0.06865085661411285, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  65 :  tf.Tensor(0.048960331827402115, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  66 :  tf.Tensor(0.0543631874024868, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  67 :  tf.Tensor(0.04928448051214218, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  68 :  tf.Tensor(0.09425193071365356, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  69 :  tf.Tensor(0.1898236870765686, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  70 :  tf.Tensor(0.11983489245176315, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  71 :  tf.Tensor(0.07638685405254364, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  72 :  tf.Tensor(0.11162596940994263, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  73 :  tf.Tensor(0.20567956566810608, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  74 :  tf.Tensor(0.1339302659034729, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  75 :  tf.Tensor(0.10745321959257126, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  76 :  tf.Tensor(0.16444779932498932, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  77 :  tf.Tensor(0.136705681681633, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  78 :  tf.Tensor(0.09972427040338516, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  79 :  tf.Tensor(0.13422954082489014, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  80 :  tf.Tensor(0.11279521882534027, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  81 :  tf.Tensor(0.17986446619033813, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  82 :  tf.Tensor(0.16887594759464264, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  83 :  tf.Tensor(0.12713532149791718, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  84 :  tf.Tensor(0.13657721877098083, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  85 :  tf.Tensor(0.08215959370136261, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  86 :  tf.Tensor(0.07200810313224792, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  87 :  tf.Tensor(0.08561825007200241, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  88 :  tf.Tensor(0.06226161867380142, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  89 :  tf.Tensor(0.09990374743938446, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  90 :  tf.Tensor(0.08916492760181427, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  91 :  tf.Tensor(0.0810774639248848, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  92 :  tf.Tensor(0.08309297263622284, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  93 :  tf.Tensor(0.10207395255565643, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  94 :  tf.Tensor(0.08040959388017654, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  95 :  tf.Tensor(0.09326938539743423, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  96 :  tf.Tensor(0.130438894033432, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  97 :  tf.Tensor(0.06997861713171005, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  98 :  tf.Tensor(0.20370471477508545, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  99 :  tf.Tensor(0.13817080855369568, shape=(), dtype=float64)
-----------epoch 3--------------
inputs.shape:  (100, 1000, 4)
loss:  0 :  tf.Tensor(0.12090624123811722, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  1 :  tf.Tensor(0.11078760027885437, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  2 :  tf.Tensor(0.11429564654827118, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  3 :  tf.Tensor(0.1652919352054596, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  4 :  tf.Tensor(0.13496285676956177, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  5 :  tf.Tensor(0.1557723432779312, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  6 :  tf.Tensor(0.13440994918346405, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  7 :  tf.Tensor(0.11822780966758728, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  8 :  tf.Tensor(0.0922703817486763, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  9 :  tf.Tensor(0.07389583438634872, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  10 :  tf.Tensor(0.12416467070579529, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  11 :  tf.Tensor(0.12085451930761337, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  12 :  tf.Tensor(0.17267051339149475, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  13 :  tf.Tensor(0.15636591613292694, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  14 :  tf.Tensor(0.15182670950889587, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  15 :  tf.Tensor(0.16910742223262787, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  16 :  tf.Tensor(0.15137217938899994, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  17 :  tf.Tensor(0.13600821793079376, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  18 :  tf.Tensor(0.13861922919750214, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  19 :  tf.Tensor(0.13785497844219208, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  20 :  tf.Tensor(0.13840530812740326, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  21 :  tf.Tensor(0.16883303225040436, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  22 :  tf.Tensor(0.12382861971855164, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  23 :  tf.Tensor(0.1528858244419098, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  24 :  tf.Tensor(0.09625794738531113, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  25 :  tf.Tensor(0.11255934834480286, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  26 :  tf.Tensor(0.08556168526411057, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  27 :  tf.Tensor(0.10505904257297516, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  28 :  tf.Tensor(0.18383127450942993, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  29 :  tf.Tensor(0.1728973537683487, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  30 :  tf.Tensor(0.11912582069635391, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  31 :  tf.Tensor(0.08259755373001099, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  32 :  tf.Tensor(0.11575715988874435, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  33 :  tf.Tensor(0.11844713240861893, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  34 :  tf.Tensor(0.07246294617652893, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  35 :  tf.Tensor(0.11837562918663025, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  36 :  tf.Tensor(0.16561853885650635, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  37 :  tf.Tensor(0.11524655669927597, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  38 :  tf.Tensor(0.09212422370910645, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  39 :  tf.Tensor(0.057404592633247375, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  40 :  tf.Tensor(0.0494186133146286, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  41 :  tf.Tensor(0.07895326614379883, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  42 :  tf.Tensor(0.052645064890384674, shape=(), dtype=float64)
